0,162
0,163
0,846
0,970
0,1483
0,3147
0,3284
0,4065
1,209
1,500
1,3065
1,3347
1,4771
2,95
2,146
2,356
2,446
2,1477
2,2524
2,3420
3,131
3,557
3,691
3,1244
3,3741
3,3852
3,4283
3,4555
3,4689
4,57
4,284
4,2230
4,2633
4,2656
4,3099
5,1226
5,1386
5,1400
5,1919
5,2991
5,4818
6,490
6,504
6,1318
6,1451
6,1694
6,2176
6,2430
6,3182
7,1631
7,2083
7,2806
7,3290
7,4985
8,2557
8,2929
8,4341
9,74
9,102
9,177
9,843
9,949
9,1308
9,1685
9,2143
9,3147
9,4540
10,199
10,909
10,1352
10,1485
10,1597
10,2140
10,3287
10,3762
10,3910
11,638
11,672
11,1012
11,2030
11,2482
11,2822
11,3206
12,406
12,428
12,1020
12,1111
12,3164
12,3661
12,3713
12,4337
12,4460
13,107
13,214
13,314
13,613
13,1031
13,1120
13,2286
13,2610
13,2726
13,2944
13,4079
13,4376
14,355
14,514
14,1151
14,1626
14,2450
14,4166
14,4425
14,4631
15,107
15,339
15,786
15,926
15,1175
15,2028
15,2560
15,3549
15,3699
16,39
16,550
16,726
16,838
16,1089
16,1246
16,3800
16,4026
16,4296
16,4680
16,4900
17,507
17,662
17,1244
17,1500
17,2644
17,3557
17,3975
17,4583
18,206
18,1260
18,1981
18,2165
18,2517
18,3076
18,3194
18,3868
18,3991
19,282
19,780
19,857
19,1860
19,2564
19,4260
19,4571
20,1367
20,1697
20,1710
20,2429
20,2701
20,4051
20,4366
20,4416
21,609
21,821
21,1625
21,2585
21,2805
21,3627
21,3790
22,275
22,282
22,623
22,1058
22,1272
22,1762
22,2105
22,2317
22,2370
22,3452
23,875
23,1073
23,1271
24,197
24,493
24,1548
24,2605
24,3009
24,3014
24,3137
24,3703
24,3981
25,744
25,1087
25,1629
25,2784
25,2846
25,3623
25,4249
25,4826
26,138
26,523
26,3300
26,3685
26,3721
26,4023
26,4188
27,1323
27,1565
27,1667
27,2426
27,3002
27,4669
27,4729
28,592
28,1724
28,3781
28,3881
28,4538
28,4559
29,348
29,556
29,1032
29,1211
29,1277
29,2324
29,2937
29,3169
29,3296
29,4727
30,764
30,982
30,2167
30,2367
30,3419
31,150
31,546
31,842
31,1038
31,2599
31,3743
31,4614
32,205
32,1368
32,2369
32,2980
32,3749
32,4147
33,389
33,860
33,1898
33,2897
33,3856
33,3875
33,4624
34,157
34,608
34,783
34,2451
34,2923
34,3203
34,3299
34,3496
34,4438
34,4488
35,484
35,1014
35,1321
35,1720
35,1785
35,2187
35,3247
35,3366
35,3875
35,3984
35,4818
35,4939
36,1093
36,1098
36,1100
36,1175
36,2126
36,2149
36,2260
36,2548
36,3681
36,3875
36,4136
36,4167
37,2564
37,3053
37,3522
37,3906
37,4149
37,4410
38,209
38,1298
38,1656
38,2205
38,2281
38,3579
38,3708
38,4199
39,2632
39,3379
39,3396
39,3756
39,3814
39,3963
39,4768
40,588
40,673
40,1074
